,Timestamp,Unnamed: 1,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
37,2023-05-11,18:00:00,1,4.99,4.58,6.69,-4.33,-6.44,-1.4,-1.33,-3.63,4.37,1.05,-1.95,5.05,187.64,116.0,231.49,11.43,-22.39,59.13,8.38,5.29,11.82,513.5,491.4,549.1,283775,183015,371109
38,2023-05-12,00:00:00,1,6.09,5.25,11.05,-4.69,-5.68,0.43,3.36,0.14,6.33,-0.99,-3.92,8.37,141.55,84.6,177.91,-9.84,-40.19,49.04,8.73,7.22,13.2,504.5,480.8,572.2,237323,173674,451618
39,2023-05-12,06:00:00,1,9.43,4.55,12.93,-3.59,-8.8,5.95,2.5,-8.71,9.08,4.64,-4.96,11.15,156.88,44.69,265.43,31.43,-31.97,81.43,14.55,12.51,17.15,563.4,512.6,584.3,354283,146974,619028
40,2023-05-12,12:00:00,1,11.68,4.99,13.62,5.23,-7.91,11.07,-8.02,-12.66,7.7,2.48,-5.85,6.03,295.74,37.74,341.38,12.78,-43.36,51.34,11.49,0.66,25.22,547.2,524.2,577.3,126166,7584,433395
41,2023-05-12,18:00:00,1,4.91,1.43,10.53,2.18,-4.35,8.48,-3.13,-7.8,2.96,1.77,-3.26,4.22,297.86,1.52,353.24,18.14,-80.57,70.96,8.76,1.06,11.5,529.9,485.5,561.5,230028,35893,474677
42,2023-05-13,00:00:00,1,5.36,1.67,6.5,-2.76,-4.38,2.8,-0.44,-1.81,1.19,4.17,-4.64,6.03,191.22,5.93,357.91,51.77,-66.34,75.15,6.81,4.85,9.49,475.3,445.2,498.2,104242,46241,231402
43,2023-05-13,06:00:00,1,4.9,4.44,5.66,-2.93,-4.44,-1.8,0.62,-0.36,2.48,3.8,1.7,4.92,166.67,148.08,186.57,51.75,18.31,69.09,4.99,4.4,5.58,448.4,439.8,472.6,107016,33566,194190
44,2023-05-13,12:00:00,1,4.83,2.93,8.66,-1.2,-2.92,5.76,0.58,-4.34,6.47,4.16,-4.91,5.51,150.83,42.93,278.64,64.51,-66.49,83.58,5.43,3.53,11.71,437.0,424.2,456.5,62978,31081,146465
45,2023-05-13,18:00:00,1,7.5,1.52,14.44,1.39,-0.48,9.17,5.71,-9.31,7.24,-1.35,-13.79,3.97,55.36,17.19,322.83,-13.61,-79.73,41.93,4.68,3.82,8.18,449.0,427.5,480.5,90493,30773,204631
46,2023-05-14,00:00:00,1,6.65,5.41,7.18,-0.22,-6.3,2.37,5.28,0.76,6.82,3.19,-1.46,5.4,97.21,60.62,169.24,29.77,-12.96,54.06,5.03,2.64,6.51,453.2,413.9,484.8,166595,112490,245230
47,2023-05-14,06:00:00,1,6.13,4.67,7.08,-2.31,-4.67,1.89,4.54,0.04,6.2,3.02,-2.93,5.33,116.21,57.08,178.79,28.97,-34.56,59.14,6.21,4.7,7.55,461.4,426.7,487.6,167868,123997,242157
48,2023-05-14,12:00:00,1,5.47,3.56,8.24,-0.6,-4.6,3.77,1.68,-5.18,5.58,-2.27,-6.89,5.12,153.64,27.85,346.89,-27.95,-76.81,57.9,7.29,5.91,8.6,490.8,460.9,503.0,189740,150850,245886
49,2023-05-14,18:00:00,1,4.75,1.97,5.68,-2.89,-4.94,3.41,1.89,-3.13,4.33,0.97,-4.04,3.61,140.4,5.47,357.07,12.04,-65.61,42.43,6.78,5.73,9.98,495.9,475.9,530.6,216127,181714,398968
50,2023-05-15,00:00:00,1,6.0,4.98,6.57,-2.61,-5.0,2.36,4.11,0.84,5.64,2.99,-1.36,5.08,122.55,58.1,166.28,30.53,-14.35,58.26,7.16,6.05,10.04,489.7,460.2,518.2,193416,138348,340462
51,2023-05-15,06:00:00,1,6.08,4.31,6.34,-4.5,-5.81,-0.82,2.83,-1.38,5.09,2.62,-0.62,4.19,149.82,93.41,193.53,25.93,-6.1,44.38,7.41,5.93,9.16,475.0,459.4,499.1,190649,147748,316120
52,2023-05-15,12:00:00,1,5.49,4.23,5.96,-5.1,-5.8,-0.77,0.14,-2.83,4.74,0.38,-3.08,2.51,176.57,118.08,245.52,4.24,-48.05,25.89,6.73,6.29,8.27,457.4,445.5,489.1,193435,161196,235417
53,2023-05-15,18:00:00,1,5.25,2.2,5.91,-1.93,-5.66,4.1,0.73,-4.75,4.83,1.48,-4.92,5.16,159.55,29.66,340.71,17.75,-84.04,65.35,7.94,6.69,9.91,478.4,442.6,510.4,193853,154440,328676
54,2023-05-16,00:00:00,1,5.71,2.58,6.89,-1.77,-5.88,1.88,-3.1,-6.0,5.33,-1.37,-4.56,4.88,230.96,36.55,291.89,-14.7,-77.34,52.07,7.99,7.13,8.87,485.5,474.3,499.8,210756,144874,253327
55,2023-05-16,06:00:00,1,5.88,2.73,6.94,-3.51,-5.21,0.37,-0.85,-4.67,4.08,3.01,-4.5,5.71,184.69,78.97,251.66,33.57,-47.87,63.99,7.1,5.89,8.69,475.0,450.3,498.1,215770,150557,265725
56,2023-05-16,12:00:00,1,4.92,4.29,5.38,-1.96,-4.71,0.43,3.32,-4.64,5.23,0.4,-2.79,4.72,142.6,83.03,254.22,4.58,-37.39,75.81,7.14,6.01,7.5,483.8,461.2,498.6,219290,171078,264475
57,2023-05-16,18:00:00,1,5.92,4.68,6.45,-3.69,-4.81,-0.7,-3.57,-5.98,4.29,1.48,-2.48,3.56,214.15,115.33,261.31,14.64,-27.57,38.96,6.13,4.74,7.46,457.7,440.3,486.1,188712,116354,261842
58,2023-05-17,00:00:00,1,5.25,4.13,5.94,-2.78,-4.24,-0.18,-3.62,-5.13,2.07,2.5,-2.84,4.91,220.59,116.42,257.21,28.36,-29.59,82.08,6.15,3.93,7.82,447.6,431.8,462.8,168089,114224,348577
